Date,X1,X2,X3,Y1,Y2
256,-1.00, 0.08,-0.04,-1.00, 1.00
257,-0.57,-0.94, 0.82, 0.34, 0.57
258, 0.38, 0.70, 0.93, 0.71,-0.38
259, 0.98, 0.35, 0.18,-0.93,-0.98
260, 0.68,-1.00,-0.73, 0.07,-0.68
261,-0.25, 0.48,-0.97, 0.88, 0.25
262,-0.95, 0.60,-0.32,-0.80, 0.95
263,-0.78,-0.98, 0.63,-0.22, 0.78
264, 0.11, 0.21, 0.99, 0.98,-0.11
265, 0.89, 0.80, 0.45,-0.60,-0.89
266, 0.86,-0.88,-0.51,-0.48,-0.86
267, 0.04,-0.07,-1.00, 1.00,-0.04
268,-0.82, 0.94,-0.57,-0.35, 0.82
269,-0.92,-0.71, 0.38,-0.71, 0.92
270,-0.18,-0.35, 0.98, 0.94, 0.18
271, 0.73, 1.00, 0.68,-0.08,-0.73
272, 0.97,-0.48,-0.25,-0.88,-0.97
273, 0.31,-0.59,-0.95, 0.80,-0.31
274,-0.63, 0.98,-0.78, 0.21, 0.63
275,-0.99,-0.22, 0.11,-0.98, 0.99
276,-0.44,-0.80, 0.90, 0.61, 0.44
277, 0.51, 0.88, 0.86, 0.47,-0.51
278, 1.00, 0.06, 0.03,-1.00,-1.00
279, 0.57,-0.93,-0.82, 0.36,-0.57
280,-0.39, 0.71,-0.92, 0.70, 0.39
281,-0.99, 0.34,-0.17,-0.94, 0.99
282,-0.68,-1.00, 0.74, 0.08, 0.68
